candidate_id,reaction_date,evidence_reaction_date,eps_surprise_pct,return_1d_pct,reported_return_pct,difference_pp,calculated_pattern,reviewed_pattern,reconciliation,notes
C01,2020-07-24,2020-07-24,10.8108108108108108,-16.24172084319128569500,-16.24,-0.00172084319128569500,divergent,divergent,CONSISTENT_WITHIN_0.10_PP,Monday brief reports the preceding Friday US session; Intel closed at 50.59. The simultaneous 7nm delay is a major confounder.
C03,2023-08-24,2023-08-24,29.1866028708133971,0.09973908029454433500,0.1,-0.00026091970545566500,aligned,aligned,CONSISTENT_WITHIN_0.10_PP,Reuters explicitly reports close up 0.1% at 471.63; do not use the larger intraday or after-hours rise. Aligned comparison despite a very large EPS beat.
C04,2024-08-29,2024-08-29,6.2500000000000000,-6.38484401706360152200,-6.38,-0.00484401706360152200,divergent,divergent,CONSISTENT_WITHIN_0.10_PP,Reported close 117.59. Forward expectations complicate earnings attribution.
C09,2025-02-27,2025-02-27,5.9523809523809524,-8.47805804741969188900,-8.5,0.02194195258030811100,divergent,divergent,CONSISTENT_WITHIN_0.10_PP,Closing-session reporting; margin outlook and wider AI/market weakness are confounders.
C11,2022-11-17,2022-11-17,-17.1428571428571429,-1.46448066679169842000,-1.5,0.03551933320830158000,aligned,aligned,CONSISTENT_WITHIN_0.10_PP,Report explicitly identifies November 17 decline after prior-afternoon results. Yahoo historical closes corroborate direction. This is not the initial after-hours rise.
C16,2022-08-03,2022-08-03,1.9417475728155340,-1.20858552379070309400,-1.21,0.00141447620929690600,divergent,divergent,CONSISTENT_WITHIN_0.10_PP,Table reports August 2 close 99.29 and August 3 close 98.09 with -1.21% daily change. Small sign mismatch; softer revenue/PC outlook matters. The much larger premarket drop is not the close-to-close result. Weak/confounded mechanical divergence; opposite signs do not establish that EPS caused the price move.
C18,2023-09-28,2023-09-28,9.3220338983050847,-4.41283783997760022400,-4.4,-0.01283783997760022400,divergent,divergent,CONSISTENT_WITHIN_0.10_PP,AP next-morning Asia report recaps completed Thursday US session. Actual loss -1.07 is better than expected -1.18; profitability outlook confounds the decline.
C22,2019-07-26,2019-07-26,19.1011235955056180,-1.09280412758593464500,-1.1,0.00719587241406535500,divergent,divergent,CONSISTENT_WITHIN_0.10_PP,4:25 PM EDT report explicitly states ended down 1.1% at 51.59; July 26 newspaper records prior-session close 52.16. Earlier session gains are not the close. Apple modem sale is concurrent; small mechanical mismatch. Weak/confounded mechanical divergence; opposite signs do not establish that EPS caused the price move.
C23,2021-11-18,2021-11-18,5.4054054054054054,8.2499090151366800,8.25,-0.0000909848633200,aligned,aligned,CONSISTENT_WITHIN_0.10_PP,"Reported close 316.75 and gain 8.25%. Conventional aligned comparison, not a quiet or matched control."
C27,2023-11-22,2023-11-22,19.6428571428571429,-2.45874336047389771500,-2.5,0.04125663952610228500,divergent,divergent,CONSISTENT_WITHIN_0.10_PP,"Reuters closing recap reports -2.5%; corroborating intraday China-outlook report supports context only, not the final percentage."
C28,2024-06-27,2024-06-27,29.1666666666666667,-7.11576249226247492900,-7.1,-0.01576249226247492900,divergent,divergent,CONSISTENT_WITHIN_0.10_PP,"Completed-session decline; forecast disappointment complicates attribution. Percentage is a source observation, not a pipeline metric."
