candidate_id,included,reviewed_event_type,reviewed_fiscal_quarter,reviewed_release_timing,reviewed_expected_pattern,headline,field_corrections,review_notes,reviewed_source_url
C01,TRUE,earnings,FY20Q2,amc,divergent,Intel reports Q2 results and delays 7nm products,fiscal_quarter: FY20 Q2 -> FY20Q2, P1 final review 2026-09-05: analysis_scope=eps_and_price.,https://www.intc.com/news-events/press-releases/detail/1402/intel-reports-second-quarter-2020-financial-results
C02,TRUE,guidance,FY24Q1,amc,aligned,NVIDIA forecasts $11 billion in Q2 revenue,fiscal_quarter: FY24 Q1 -> FY24Q1; why_selected: Datacenter guidance came in far above consensus and repriced the whole AI trade; the clearest aligned case in the dataset -> Company-wide revenue outlook substantially exceeded expectations; qualitative AI-demand and guidance case.,"The $11 billion outlook was company-wide Q2 revenue, not a standalone datacenter forecast. Guidance is qualitative here. P1 final review 2026-09-05: analysis_scope=qualitative.",https://investor.nvidia.com/news/press-release-details/2023/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2024/default.aspx
C03,TRUE,earnings,FY24Q2,amc,aligned,NVIDIA reports Q2 results and raises revenue outlook,"fiscal_quarter: FY24 Q2 -> FY24Q2; expected_pattern: divergent -> aligned; why_selected: Very large beat and sharply higher guidance, followed by a relatively muted next-day move. -> Large adjusted EPS beat with a muted positive next-session reaction; useful aligned comparison without treating magnitude disappointment as sign divergence.",Change divergent to aligned: a muted positive next-session close is not beat/down divergence. Keep as an additional aligned case. P1 final review 2026-09-05: analysis_scope=eps_and_price. sample_role: additional_aligned -> comparison.,https://investor.nvidia.com/news/press-release-details/2023/NVIDIA-Announces-Financial-Results-for-Second-Quarter-Fiscal-2024/default.aspx
C04,TRUE,earnings,FY25Q2,amc,divergent,NVIDIA reports FY25 Q2 results,fiscal_quarter: FY25 Q2 -> FY25Q2, P1 final review 2026-09-05: analysis_scope=eps_and_price.,https://investor.nvidia.com/news/press-release-details/2024/NVIDIA-Announces-Financial-Results-for-Second-Quarter-Fiscal-2025/default.aspx
C05,FALSE,earnings,FY24Q2,amc,aligned,Intel reports Q2 results and suspends dividend,fiscal_quarter: FY24 Q2 -> FY24Q2, Extreme restructuring/dividend-suspension selloff is unsuitable as an ordinary comparison; replaced by C28 to increase earnings-divergence coverage.,https://www.intc.com/news-events/press-releases/detail/1704/intel-reports-second-quarter-2024-financial-results
C06,TRUE,guidance,FY24Q4,amc,aligned,Broadcom reports Q4 results and issues Q1 outlook,fiscal_quarter: FY24 Q4 -> FY24Q4, P1 final review 2026-09-05: analysis_scope=qualitative.,https://investors.broadcom.com/news-releases/news-release-details/broadcom-inc-announces-fourth-quarter-and-fiscal-year-2024
C07,TRUE,guidance,FY25Q1,amc,divergent,Micron reports Q1 results and issues Q2 outlook,fiscal_quarter: FY25 Q1 -> FY25Q1,Retain as qualitative guidance case; its divergent hypothesis does not qualify for an automatic EPS flag. P1 final review 2026-09-05: analysis_scope=qualitative.,https://investors.micron.com/news/press-release/2024/Micron-Technology-Inc--Reports-Results-for-the-First-Quarter-of-Fiscal-2025-12-18-2024/default.aspx
C08,FALSE,macro,,bmo,macro,Semiconductor shares fall amid DeepSeek attention,No existing field value changed.," January 27 is the selloff date, not the January 20 R1 release date. No single verified January 27 announcement anchor; exclude under announcement-date methodology.",https://www.cnbc.com/2025/01/27/nvidia-falls-10percent-in-premarket-trading-as-chinas-deepseek-triggers-global-tech-sell-off.html
C09,TRUE,earnings,FY25Q4,amc,divergent,NVIDIA reports FY25 Q4 results,fiscal_quarter: FY25 Q4 -> FY25Q4; source_url: https://investor.nvidia.com/news/press-release-details/2025/NVIDIA-Announces-Financial-Results-for-Fourth-Quarter-and-Fiscal-2025/ -> https://www.globenewswire.com/news-release/2025/02/26/3033384/0/en/nvidia-announces-financial-results-for-fourth-quarter-and-fiscal-2025.html,Replace incomplete investor-relations URL with the timestamped issuer-distributed earnings release. P1 final review 2026-09-05: analysis_scope=eps_and_price.,https://www.globenewswire.com/news-release/2025/02/26/3033384/0/en/nvidia-announces-financial-results-for-fourth-quarter-and-fiscal-2025.html
C10,TRUE,guidance,FY23Q4,amc,aligned,Intel reports Q4 results and issues Q1 outlook,fiscal_quarter: FY23 Q4 -> FY23Q4; why_selected: Weak forward guidance after an in line quarter drove a double digit drop -> Adjusted EPS beat accompanied by weak forward guidance; qualitative outlook-driven decline.,Reported adjusted EPS beat expectations; replace the inaccurate in-line-quarter narrative. Weak forward outlook remains the selection reason. P1 final review 2026-09-05: analysis_scope=qualitative.,https://www.intc.com/news-events/press-releases/detail/1672/intel-reports-fourth-quarter-and-full-year-2023-financial
