candidate_id,ticker,benchmark,reaction_date,previous_close_date,fifth_session,prior_sessions,status
C01,INTC,SOXX,2020-07-24,2020-07-23,2020-07-30,60,PASS
C02,NVDA,SOXX,2023-05-25,2023-05-24,2023-06-01,60,PASS
C03,NVDA,SOXX,2023-08-24,2023-08-23,2023-08-30,60,PASS
C04,NVDA,SOXX,2024-08-29,2024-08-28,2024-09-05,60,PASS
C06,AVGO,SOXX,2024-12-13,2024-12-12,2024-12-19,60,PASS
C07,MU,SOXX,2024-12-19,2024-12-18,2024-12-26,60,PASS
C09,NVDA,SOXX,2025-02-27,2025-02-26,2025-03-05,60,PASS
C10,INTC,SOXX,2024-01-26,2024-01-25,2024-02-01,60,PASS
C11,NVDA,SOXX,2022-11-17,2022-11-16,2022-11-23,60,PASS
C12,SOXX,SPY,2022-10-07,2022-10-06,2022-10-13,60,PASS
C13,SOXX,SPY,2022-09-21,2022-09-20,2022-09-27,60,PASS
C16,AMD,SOXX,2022-08-03,2022-08-02,2022-08-09,60,PASS
C18,MU,SOXX,2023-09-28,2023-09-27,2023-10-04,60,PASS
C19,TSM,SOXX,2024-10-17,2024-10-16,2024-10-23,60,PASS
C22,INTC,SOXX,2019-07-26,2019-07-25,2019-08-01,60,PASS
C23,NVDA,SOXX,2021-11-18,2021-11-17,2021-11-24,60,PASS
C25,TSM,SOXX,2025-01-16,2025-01-15,2025-01-23,60,PASS
C26,SOXX,SPY,2025-04-03,2025-04-02,2025-04-09,60,PASS
C27,NVDA,SOXX,2023-11-22,2023-11-21,2023-11-29,60,PASS
C28,MU,SOXX,2024-06-27,2024-06-26,2024-07-03,60,PASS
