candidate_id,ticker,approx_period,event_date,release_timing,event_type,fiscal_quarter,expected_pattern,why_selected,recall_confidence,source_url,verified,headline,release_time_et,timing_source_url,timing_notes,sample_role,analysis_scope
C01,INTC,2020-07,2020-07-23,amc,earnings,FY20Q2,divergent,Beat on the quarter but announced a 7nm process delay in the same release; results and stock direction split hard,high,https://www.intc.com/news-events/press-releases/detail/1402/intel-reports-second-quarter-2020-financial-results,TRUE,Intel reports Q2 results and delays 7nm products,16:00,https://www.intc.com/news-events/press-releases/detail/1402/intel-reports-second-quarter-2020-financial-results,"Issuer release footer; at-close minute classified amc, corroborated by announced after-close schedule.",divergence_candidate,eps_and_price
C02,NVDA,2023-05,2023-05-24,amc,guidance,FY24Q1,aligned,Company-wide revenue outlook substantially exceeded expectations; qualitative AI-demand and guidance case.,high,https://investor.nvidia.com/news/press-release-details/2023/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2024/default.aspx,TRUE,NVIDIA forecasts $11 billion in Q2 revenue,16:20,https://www.globenewswire.com/news-release/2023/05/24/2675692/0/en/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2024.html,Issuer-distributed release timestamp.,qualitative,qualitative
C03,NVDA,2023-08,2023-08-23,amc,earnings,FY24Q2,aligned,Large adjusted EPS beat with a muted positive next-session reaction; useful aligned comparison without treating magnitude disappointment as sign divergence.,high,https://investor.nvidia.com/news/press-release-details/2023/NVIDIA-Announces-Financial-Results-for-Second-Quarter-Fiscal-2024/default.aspx,TRUE,NVIDIA reports Q2 results and raises revenue outlook,16:20,https://www.globenewswire.com/news-release/2023/08/23/2730732/0/en/nvidia-announces-financial-results-for-second-quarter-fiscal-2024.html,Issuer-distributed release timestamp.,comparison,eps_and_price
C04,NVDA,2024-08,2024-08-28,amc,earnings,FY25Q2,divergent,Beat consensus and still sold off; good pairing with C03 to show the pattern is not a one off,medium,https://investor.nvidia.com/news/press-release-details/2024/NVIDIA-Announces-Financial-Results-for-Second-Quarter-Fiscal-2025/default.aspx,TRUE,NVIDIA reports FY25 Q2 results,16:20,https://www.globenewswire.com/news-release/2024/08/28/2937384/0/en/NVIDIA-Announces-Financial-Results-for-Second-Quarter-Fiscal-2025.html,Issuer-distributed release timestamp.,divergence_candidate,eps_and_price
C06,AVGO,2024-12,2024-12-12,amc,guidance,FY24Q4,aligned,Custom AI silicon guidance drove a very large single day gain; shows guidance can matter more than the reported quarter,medium,https://investors.broadcom.com/news-releases/news-release-details/broadcom-inc-announces-fourth-quarter-and-fiscal-year-2024,TRUE,Broadcom reports Q4 results and issues Q1 outlook,16:15,https://www.prnewswire.com/news-releases/broadcom-inc-announces-fourth-quarter-and-fiscal-year-2024-financial-results-and-quarterly-dividend-302330736.html,Issuer-distributed release timestamp.,qualitative,qualitative
C07,MU,2024-12,2024-12-18,amc,guidance,FY25Q1,divergent,"Reported quarter fine, forward guidance weak; separates the two halves of an earnings release",medium,https://investors.micron.com/news/press-release/2024/Micron-Technology-Inc--Reports-Results-for-the-First-Quarter-of-Fiscal-2025-12-18-2024/default.aspx,TRUE,Micron reports Q1 results and issues Q2 outlook,16:02,https://www.globenewswire.com/news-release/2024/12/18/2999383/14450/en/Micron-Technology-Inc-Reports-Results-for-the-First-Quarter-of-Fiscal-2025.html,Issuer-distributed release timestamp.,qualitative,qualitative
C09,NVDA,2025-02,2025-02-26,amc,earnings,FY25Q4,divergent,Beat and still fell; the size of the expectation bar is the story,medium,https://www.globenewswire.com/news-release/2025/02/26/3033384/0/en/nvidia-announces-financial-results-for-fourth-quarter-and-fiscal-2025.html,TRUE,NVIDIA reports FY25 Q4 results,16:20,https://www.globenewswire.com/news-release/2025/02/26/3033384/0/en/nvidia-announces-financial-results-for-fourth-quarter-and-fiscal-2025.html,Issuer-distributed release timestamp.,divergence_candidate,eps_and_price
C10,INTC,2024-01,2024-01-25,amc,guidance,FY23Q4,aligned,Adjusted EPS beat accompanied by weak forward guidance; qualitative outlook-driven decline.,medium,https://www.intc.com/news-events/press-releases/detail/1672/intel-reports-fourth-quarter-and-full-year-2023-financial,TRUE,Intel reports Q4 results and issues Q1 outlook,16:01,https://www.intc.com/news-events/press-releases/detail/1672/intel-reports-fourth-quarter-and-full-year-2023-financial,Issuer release footer.,qualitative,qualitative
C11,NVDA,2022-11,2022-11-16,amc,earnings,FY23Q3,aligned,"Adjusted EPS miss and reported next-session decline; conventional miss/down comparison, distinct from the initial after-hours rise.",medium,https://nvidianews.nvidia.com/news/nvidia-announces-financial-results-for-third-quarter-fiscal-2023,TRUE,NVIDIA reports FY23 Q3 results,16:20,https://www.globenewswire.com/news-release/2022/11/16/2557674/0/en/NVIDIA-Announces-Financial-Results-for-Third-Quarter-Fiscal-2023.html,Issuer-distributed release timestamp.,comparison,eps_and_price
C12,SOXX,2022-10,2022-10-07,intraday,macro,,macro,US export controls on advanced chips to China; policy shock with no earnings component,medium,https://www.govinfo.gov/content/pkg/FR-2022-10-13/pdf/2022-21658.pdf,TRUE,US publishes advanced-chip export-control rule for public inspection,11:15,https://www.govinfo.gov/content/pkg/FR-2022-10-13/pdf/2022-21658.pdf,"Public-inspection filing October 7 at 11:15 AM ET, final page; not the October 13 Federal Register publication date or a BIS webpage timestamp.",macro,macro_price
C13,SOXX,2022-09,2022-09-21,intraday,macro,,macro,Rate repricing during the hiking cycle; long duration tech valuation compression,medium,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220921a.htm,TRUE,Federal Reserve raises target rate by 75 basis points,14:00,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220921a.htm,Federal Reserve release explicitly specifies 2 PM EDT.,macro,macro_price
